Taraget,Tree Name,Insert Time (µs),Search Time (µs),Success Count,Failed Count,Accuracy, Input Count, Test Count
acc_full_512_512,BinarySearchTree,163,174,512,0,1, 512, 512
acc_full_512_512,SplayTree,232,218,512,0,1, 512, 512
acc_full_512_512,Treap,186,184,512,0,1, 512, 512
acc_full_512_512,2-3 Tree,1020,378,512,0,1, 512, 512
acc_full_512_2048,BinarySearchTree,177,173,512,0,1, 512, 512
acc_full_512_2048,SplayTree,233,217,512,0,1, 512, 512
acc_full_512_2048,Treap,180,197,512,0,1, 512, 512
acc_full_512_2048,2-3 Tree,1023,376,512,0,1, 512, 512
acc_full_512_8192,BinarySearchTree,160,172,512,0,1, 512, 512
acc_full_512_8192,SplayTree,236,227,512,0,1, 512, 512
acc_full_512_8192,Treap,177,187,512,0,1, 512, 512
acc_full_512_8192,2-3 Tree,1027,377,512,0,1, 512, 512
acc_full_512_32768,BinarySearchTree,165,172,512,0,1, 512, 512
acc_full_512_32768,SplayTree,232,228,512,0,1, 512, 512
acc_full_512_32768,Treap,169,179,512,0,1, 512, 512
acc_full_512_32768,2-3 Tree,1023,397,512,0,1, 512, 512
acc_full_512_131072,BinarySearchTree,160,205,512,0,1, 512, 512
acc_full_512_131072,SplayTree,225,223,512,0,1, 512, 512
acc_full_512_131072,Treap,190,201,512,0,1, 512, 512
acc_full_512_131072,2-3 Tree,1021,375,512,0,1, 512, 512
acc_full_2048_512,BinarySearchTree,816,207,512,0,1, 2048, 512
acc_full_2048_512,SplayTree,1277,260,512,0,1, 2048, 512
acc_full_2048_512,Treap,929,226,512,0,1, 2048, 512
acc_full_2048_512,2-3 Tree,4338,412,512,0,1, 2048, 512
acc_full_2048_2048,BinarySearchTree,840,169,512,0,1, 2048, 512
acc_full_2048_2048,SplayTree,1212,290,512,0,1, 2048, 512
acc_full_2048_2048,Treap,871,219,512,0,1, 2048, 512
acc_full_2048_2048,2-3 Tree,4345,430,512,0,1, 2048, 512
acc_full_2048_8192,BinarySearchTree,826,164,512,0,1, 2048, 512
acc_full_2048_8192,SplayTree,1159,268,512,0,1, 2048, 512
acc_full_2048_8192,Treap,853,215,512,0,1, 2048, 512
acc_full_2048_8192,2-3 Tree,4266,469,512,0,1, 2048, 512
acc_full_2048_32768,BinarySearchTree,817,165,512,0,1, 2048, 512
acc_full_2048_32768,SplayTree,1166,305,512,0,1, 2048, 512
acc_full_2048_32768,Treap,852,211,512,0,1, 2048, 512
acc_full_2048_32768,2-3 Tree,4383,412,512,0,1, 2048, 512
acc_full_2048_131072,BinarySearchTree,843,206,512,0,1, 2048, 512
acc_full_2048_131072,SplayTree,1170,304,512,0,1, 2048, 512
acc_full_2048_131072,Treap,1253,294,512,0,1, 2048, 512
acc_full_2048_131072,2-3 Tree,4421,441,512,0,1, 2048, 512
acc_full_8192_512,BinarySearchTree,4129,179,512,0,1, 8192, 512
acc_full_8192_512,SplayTree,5959,344,512,0,1, 8192, 512
acc_full_8192_512,Treap,4406,278,512,0,1, 8192, 512
acc_full_8192_512,2-3 Tree,18665,472,512,0,1, 8192, 512
acc_full_8192_2048,BinarySearchTree,4172,170,512,0,1, 8192, 512
acc_full_8192_2048,SplayTree,6015,341,512,0,1, 8192, 512
acc_full_8192_2048,Treap,4354,273,512,0,1, 8192, 512
acc_full_8192_2048,2-3 Tree,18762,462,512,0,1, 8192, 512
acc_full_8192_8192,BinarySearchTree,4211,170,512,0,1, 8192, 512
acc_full_8192_8192,SplayTree,6335,347,512,0,1, 8192, 512
acc_full_8192_8192,Treap,4634,289,512,0,1, 8192, 512
acc_full_8192_8192,2-3 Tree,18820,450,512,0,1, 8192, 512
acc_full_8192_32768,BinarySearchTree,4079,170,512,0,1, 8192, 512
acc_full_8192_32768,SplayTree,5859,337,512,0,1, 8192, 512
acc_full_8192_32768,Treap,4692,275,512,0,1, 8192, 512
acc_full_8192_32768,2-3 Tree,22207,526,512,0,1, 8192, 512
acc_full_8192_131072,BinarySearchTree,4368,200,512,0,1, 8192, 512
acc_full_8192_131072,SplayTree,5947,352,512,0,1, 8192, 512
acc_full_8192_131072,Treap,4239,319,512,0,1, 8192, 512
acc_full_8192_131072,2-3 Tree,19554,471,512,0,1, 8192, 512
acc_full_32768_512,BinarySearchTree,22718,254,512,0,1, 32768, 512
acc_full_32768_512,SplayTree,39022,831,512,0,1, 32768, 512
acc_full_32768_512,Treap,29103,621,512,0,1, 32768, 512
acc_full_32768_512,2-3 Tree,100093,526,512,0,1, 32768, 512
acc_full_32768_2048,BinarySearchTree,23397,172,512,0,1, 32768, 512
acc_full_32768_2048,SplayTree,35736,509,512,0,1, 32768, 512
acc_full_32768_2048,Treap,25652,521,512,0,1, 32768, 512
acc_full_32768_2048,2-3 Tree,87231,634,512,0,1, 32768, 512
acc_full_32768_8192,BinarySearchTree,22967,198,512,0,1, 32768, 512
acc_full_32768_8192,SplayTree,33787,534,512,0,1, 32768, 512
acc_full_32768_8192,Treap,24587,422,512,0,1, 32768, 512
acc_full_32768_8192,2-3 Tree,86374,529,512,0,1, 32768, 512
acc_full_32768_32768,BinarySearchTree,23294,170,512,0,1, 32768, 512
acc_full_32768_32768,SplayTree,34288,470,512,0,1, 32768, 512
acc_full_32768_32768,Treap,26088,404,512,0,1, 32768, 512
acc_full_32768_32768,2-3 Tree,88732,537,512,0,1, 32768, 512
acc_full_32768_131072,BinarySearchTree,19904,172,512,0,1, 32768, 512
acc_full_32768_131072,SplayTree,29862,460,512,0,1, 32768, 512
acc_full_32768_131072,Treap,22546,387,512,0,1, 32768, 512
acc_full_32768_131072,2-3 Tree,86280,492,512,0,1, 32768, 512
acc_full_131072_512,BinarySearchTree,118148,241,512,0,1, 131072, 512
