ID   , holiday                  , temp   , rain_1h, snow_1h, clouds_all, weather_main, Rush Hour, traffic_volume
 5068,                          , 271.88 ,    0.0 ,    0.0 ,         90, Mist        ,         0,            707
 8455,                          , 290.55 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           2802
34864,                          , 284.34 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            340
 1526,                          , 264.84 ,    0.0 ,    0.0 ,         40, Clouds      ,         0,           5816
 6499,                          , 286.99 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           5556
34593,                          , 293.27 ,    0.0 ,    0.0 ,          1, Clear       ,         0,            318
10727,                          , 260.63 ,    0.38,    0.0 ,         64, Snow        ,         0,           3916
48107,                          , 286.74 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,            373
 8539,                          , 295.89 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           5151
10886,                          , 256.7  ,    0.0 ,    0.0 ,         64, Snow        ,         0,            351
 4424,                          , 259.04 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           2581
31853,                          , 276.15 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           3596
43241,                          , 270.49 ,    0.0 ,    0.0 ,         90, Mist        ,         0,           1978
34911,                          , 292.15 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           4621
41093,                          , 255.69 ,    0.0 ,    0.0 ,         20, Snow        ,         1,           5489
 7026,                          , 296.58 ,    0.0 ,    0.0 ,         92, Clouds      ,         0,           4340
38919,                          , 277.22 ,    0.0 ,    0.0 ,         90, Fog         ,         1,           5841
  519,                          , 282.13 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           5210
33956,                          , 285.55 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           4517
40008,                          , 264.95 ,    0.0 ,    0.0 ,          1, Snow        ,         0,            698
22581,                          , 285.46 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           3016
21474,                          , 274.68 ,    0.0 ,    0.0 ,         90, Mist        ,         0,           3152
22601,                          , 284.93 ,    0.0 ,    0.0 ,         90, Haze        ,         0,           4852
45221,                          , 291.57 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           5053
   84,                          , 276.99 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,            411
28840,                          , 270.51 ,    0.0 ,    0.0 ,          1, Fog         ,         0,           5573
46746,                          , 291.88 ,    0.0 ,    0.0 ,          1, Mist        ,         0,           5386
 6457,                          , 286.92 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,            336
 1963,                          , 260.43 ,    0.0 ,    0.0 ,         75, Mist        ,         0,            268
24973,                          , 293.931,    0.0 ,    0.0 ,          8, Clear       ,         1,           3471
11373,                          , 271.6  ,    0.0 ,    0.0 ,         64, Mist        ,         0,            540
14637,                          , 299.02 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           3674
26571,                          , 289.12 ,    0.3 ,    0.0 ,         75, Rain        ,         0,            331
 1101,                          , 280.43 ,    0.0 ,    0.0 ,         90, Drizzle     ,         1,           2687
43543,                          , 278.8  ,    0.0 ,    0.0 ,          1, Clear       ,         0,            346
30496,                          , 271.75 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           2649
27299,                          , 271.178,    0.0 ,    0.0 ,          0, Clear       ,         0,            790
14227,                          , 286.99 ,    0.0 ,    0.0 ,          1, Haze        ,         1,           2904
43618,                          , 278.16 ,    0.0 ,    0.0 ,         75, Clouds      ,         0,           5573
32559,                          , 273.77 ,    0.0 ,    0.0 ,         90, Snow        ,         0,            462
43828,                          , 291.93 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           3915
 2148,                          , 266.9  ,    0.0 ,    0.0 ,         90, Clouds      ,         0,            812
33201,                          , 279.59 ,    0.0 ,    0.0 ,         90, Drizzle     ,         0,           4622
 5401,                          , 281.68 ,    0.0 ,    0.0 ,         90, Rain        ,         1,           5376
 6021,                          , 293.74 ,    0.0 ,    0.0 ,          1, Clear       ,         1,           6445
11568,                          , 276.793,    0.0 ,    0.0 ,         64, Clouds      ,         0,            441
36872,                          , 300.45 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           4612
22934,                          , 285.54 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           5266
43173,                          , 275.95 ,    0.0 ,    0.0 ,         40, Rain        ,         1,           6585
47441,                          , 292.18 ,    0.28,    0.0 ,         90, Rain        ,         0,            882
12196,                          , 268.55 ,    0.32,    0.0 ,         90, Rain        ,         0,           4692
44935,                          , 298.88 ,    0.0 ,    0.0 ,          1, Clear       ,         0,           6781
41961,                          , 276.44 ,    0.0 ,    0.0 ,          5, Clear       ,         1,           4800
 5311,                          , 272.96 ,    0.0 ,    0.0 ,         90, Snow        ,         0,           3164
43219,                          , 272.22 ,    0.0 ,    0.0 ,         90, Snow        ,         0,            397
11223,                          , 263.05 ,    0.0 ,    0.0 ,         64, Clouds      ,         0,           4412
 4208,                          , 275.35 ,    0.0 ,    0.0 ,         90, Rain        ,         0,           4112
 7859,                          , 291.75 ,    0.0 ,    0.0 ,          0, Clear       ,         0,           4636
 6124,                          , 286.91 ,    0.0 ,    0.0 ,         90, Rain        ,         1,           4813
46364,                          , 290.15 ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           4977
 5395,                          , 278.0  ,    0.0 ,    0.0 ,         90, Clouds      ,         0,           4815
 3479,                          , 271.94 ,    0.0 ,    0.0 ,         90, Haze        ,         0,           2059
