source,scenario,paper_table,experiment_kind,task_id,fold,train_accuracy_percent,test_accuracy_percent,notes
paper_reported,paper,Table 10,kfold_modified_rbp,multiclass,1,79.89,80.15,
paper_reported,paper,Table 10,kfold_modified_rbp,multiclass,2,80.0,80.0,
paper_reported,paper,Table 10,kfold_modified_rbp,multiclass,3,79.58,80.06,
paper_reported,paper,Table 10,kfold_modified_rbp,multiclass,4,79.43,80.02,
paper_reported,paper,Table 10,kfold_modified_rbp,multiclass,5,81.27,80.13,
paper_reported,paper,Table 11,kfold_modified_rbp,ad_vs_healthy,1,99.82,99.86,
paper_reported,paper,Table 11,kfold_modified_rbp,ad_vs_healthy,2,99.8,99.82,
paper_reported,paper,Table 11,kfold_modified_rbp,ad_vs_healthy,3,99.73,99.92,
paper_reported,paper,Table 11,kfold_modified_rbp,ad_vs_healthy,4,99.61,99.86,
paper_reported,paper,Table 11,kfold_modified_rbp,ad_vs_healthy,5,99.78,99.82,
ours,paper_literal_80_10_10,Table 10,kfold_modified_rbp,multiclass,1,56.92764578833693,58.30274238825308,
ours,paper_literal_80_10_10,Table 10,kfold_modified_rbp,multiclass,2,57.44060475161987,57.24465558194775,
ours,paper_literal_80_10_10,Table 10,kfold_modified_rbp,multiclass,3,57.5670860104746,57.170626349892004,
ours,paper_literal_80_10_10,Table 10,kfold_modified_rbp,multiclass,4,57.334917121105775,57.66738660907127,
ours,paper_literal_80_10_10,Table 10,kfold_modified_rbp,multiclass,5,56.97548860814167,58.2847267228343,
ours,paper_literal_80_10_10,Table 11,kfold_modified_rbp,ad_vs_healthy,1,71.5570346243716,71.76437269895214,
ours,paper_literal_80_10_10,Table 11,kfold_modified_rbp,ad_vs_healthy,2,71.42250230121078,72.61399037099972,
ours,paper_literal_80_10_10,Table 11,kfold_modified_rbp,ad_vs_healthy,3,71.59951851589605,72.89719626168224,
ours,paper_literal_80_10_10,Table 11,kfold_modified_rbp,ad_vs_healthy,4,71.81193797351837,69.95185499858397,
ours,paper_literal_80_10_10,Table 11,kfold_modified_rbp,ad_vs_healthy,5,71.5024072500708,72.1813031161473,
