paper_table,layer_order,layer_type,output_shape,parameter_count,connected_to
Table 1,1,Input layer,"(None, 6, 1)",0,-
Table 1,2,Conv 1D,"(None, 6, 32)",256,Input layer
Table 1,3,Batch normalization,"(None, 6, 32)",128,Conv1D
Table 1,4,Activation,"(None, 6, 32)",0,Batch normalization
Table 1,5,Spatial dropout 1D,"(None, 6, 32)",0,Activation
Table 1,6,Conv1D,"(None, 6, 32)",7200,Spatial dropout 1D
Table 1,7,Batch normalization,"(None, 6, 32)",128,Conv1D
Table 1,8,Activation,"(None, 6, 32)",0,Batch normalization
Table 1,9,Conv 1D residual,"(None, 6, 32)",64,Input layer
Table 1,10,Spatial dropout 1D,"(None, 6, 32)",0,Activation
Table 1,11,Add,"(None, 6, 32)",0,Conv1D + Spatial dropout
Table 1,12,Conv 1D,"(None, 6, 32)",7200,Add
Table 1,13,Batch normalization,"(None, 6, 32)",128,Conv1D
Table 1,14,Activation,"(None, 6, 32)",0,Batch normalization
Table 1,15,Spatial dropout 1D,"(None, 6, 32)",0,Activation
Table 1,16,Conv 1D,"(None, 6, 32)",7200,Spatial dropout 1D
Table 1,17,Batch normalization,"(None, 6, 32)",128,Conv 1D
Table 1,18,Activation,"(None, 6, 32)",0,Batch normalization
Table 1,19,Conv 1D residual,"(None, 6, 32)",1056,Add
Table 1,20,Spatial dropout 1D,"(None, 6, 32)",0,Activation
Table 1,21,Add,"(None, 6, 32)",0,Conv1D + Spatial dropout
Table 1,22,LSTM,"(None, 64)",24832,Add
Table 1,23,Dense,"(None, 128)",8320,LSTM
Table 1,24,Dropout,"(None, 128)",0,Dense
Table 1,25,Dense,"(None, 192)",24768,Dropout
Table 1,26,Dropout,"(None, 192)",0,Dense
Table 1,27,Dense,"(None, 256)",49408,Dropout
Table 1,28,Dropout,"(None, 256)",0,Dense
Table 1,29,Dense output,"(None, 3)",771,Dropout
