scenario,task_id,status,run_dir,experiment_id,config_path,seed,epochs,device,test_source,train_fraction,val_fraction,test_fraction,accuracy,macro_precision,macro_recall,macro_f1,support
paper_literal_80_10_10,multiclass,available,data/runs/ds004504_rbp_paper/multiclass,ds004504_rbp_paper_multiclass,cfgs/ds004504_rbp_paper/multiclass.yaml,42,100,cuda,,,,,0.5720448662640207,0.6050175771284018,0.516093278742983,0.5066589473338272,2318
paper_literal_80_10_10,ad_ftd_vs_healthy,available,data/runs/ds004504_rbp_paper/ad_ftd_vs_healthy,ds004504_rbp_paper_ad_ftd_vs_healthy,cfgs/ds004504_rbp_paper/ad_ftd_vs_healthy.yaml,42,100,cuda,,,,,0.7466551575312904,0.7196641287156287,0.7066801252471984,0.711777629012813,2317
paper_literal_80_10_10,ad_vs_healthy,available,data/runs/ds004504_rbp_paper/ad_vs_healthy,ds004504_rbp_paper_ad_vs_healthy,cfgs/ds004504_rbp_paper/ad_vs_healthy.yaml,42,100,cuda,,,,,0.7368421052631579,0.7353426300794721,0.7312861944157187,0.7324656414257169,1767
paper_literal_80_10_10,ftd_vs_healthy,available,data/runs/ds004504_rbp_paper/ftd_vs_healthy,ds004504_rbp_paper_ftd_vs_healthy,cfgs/ds004504_rbp_paper/ftd_vs_healthy.yaml,42,100,cuda,,,,,0.7424130273871207,0.7339095800531059,0.7274240018148821,0.7298807253004849,1351
paper_literal_80_10_10,standard_rbp/multiclass,available,data/runs/ds004504_rbp_paper/standard_rbp/multiclass,ds004504_standard_rbp_paper_multiclass,cfgs/ds004504_rbp_paper/standard_rbp/multiclass.yaml,2863909166,100,cuda,split,0.8,0.1,0.1,0.5621225194132873,0.5681404822029822,0.5149302770307004,0.508942908521208,2318
paper_literal_80_10_10,standard_rbp/ad_vs_healthy,available,data/runs/ds004504_rbp_paper/standard_rbp/ad_vs_healthy,ds004504_standard_rbp_paper_ad_vs_healthy,cfgs/ds004504_rbp_paper/standard_rbp/ad_vs_healthy.yaml,112467159,100,cuda,split,0.8,0.1,0.1,0.7176004527447651,0.7176362041973542,0.7091726990692864,0.7105383155516555,1767
paper_literal_80_10_10,smote/multiclass,available,data/runs/ds004504_rbp_paper/smote/multiclass,ds004504_rbp_paper_smote_multiclass,cfgs/ds004504_rbp_paper/smote/multiclass.yaml,565061123,100,cuda,smote_split,0.8,0.1,0.1,0.5415374008962427,0.5401733390495718,0.5415374008962427,0.5360466667090907,2901
paper_literal_80_10_10,smote/ad_vs_healthy,available,data/runs/ds004504_rbp_paper/smote/ad_vs_healthy,ds004504_rbp_paper_smote_ad_vs_healthy,cfgs/ds004504_rbp_paper/smote/ad_vs_healthy.yaml,4290131784,100,cuda,smote_split,0.8,0.1,0.1,0.7057911065149949,0.7060610538579494,0.7057911065149949,0.7056947189066123,1934
paper_literal_80_10_10,label_swap_80_20/multiclass,available,data/runs/ds004504_rbp_paper/label_swap/multiclass,ds004504_rbp_paper_label_swap_multiclass,cfgs/ds004504_rbp_paper/label_swap/multiclass.yaml,941058028,100,cuda,split,0.8,0.1,0.1,0.548748921484038,0.5680880987740103,0.4923002965058047,0.47045732697940007,2318
paper_literal_80_10_10,label_swap_80_20/ftd_vs_healthy,available,data/runs/ds004504_rbp_paper/label_swap/ftd_vs_healthy,ds004504_rbp_paper_label_swap_ftd_vs_healthy,cfgs/ds004504_rbp_paper/label_swap/ftd_vs_healthy.yaml,2866693732,100,cuda,split,0.8,0.1,0.1,0.7113249444855663,0.7075872367525309,0.7144487295825772,0.7074744500259831,1351
