scenario,paper_table,purpose,paper_accuracy,ours_accuracy,paper_support,ours_support,notes
paper_literal_80_10_10,Table 1,model architecture,,,,,Architecture table; no accuracy/support metrics.
paper_literal_80_10_10,Table 2,model parameter summary,,,,,Parameter-count table; see model_parameters.csv for paper and ours counts.
paper_literal_80_10_10,Table 3,modified RBP multiclass metrics,,,multiclass/alzheimer=1876; multiclass/frontotemporal_dementia=1597; multiclass/healthy_control=1106,multiclass/alzheimer=967; multiclass/frontotemporal_dementia=551; multiclass/healthy_control=800,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 4,modified RBP AD+FTD vs Healthy metrics,,,ad_ftd_vs_healthy/alzheimer_or_frontotemporal_dementia=2983; ad_ftd_vs_healthy/healthy_control=1596,ad_ftd_vs_healthy/alzheimer_or_frontotemporal_dementia=1517; ad_ftd_vs_healthy/healthy_control=800,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 5,modified RBP AD vs Healthy metrics,,,ad_vs_healthy/alzheimer=1876; ad_vs_healthy/healthy_control=1596,ad_vs_healthy/alzheimer=967; ad_vs_healthy/healthy_control=800,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 6,modified RBP FTD vs Healthy metrics,,,ftd_vs_healthy/frontotemporal_dementia=1597; ftd_vs_healthy/healthy_control=1596,ftd_vs_healthy/frontotemporal_dementia=551; ftd_vs_healthy/healthy_control=800,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 7,modified RBP task accuracy,ftd_vs_healthy=0.997; ad_vs_healthy=0.9974; ad_ftd_vs_healthy=0.998; multiclass=0.8034,ftd_vs_healthy=0.7424130273871207; ad_vs_healthy=0.7368421052631579; ad_ftd_vs_healthy=0.7466551575312904; multiclass=0.5720448662640207,,,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 8,SMOTE multiclass metrics,multiclass=77.45%,multiclass=0.5415374008962427,multiclass/alzheimer=1876; multiclass/frontotemporal_dementia=1876; multiclass/healthy_control=1876,multiclass/alzheimer=967; multiclass/frontotemporal_dementia=967; multiclass/healthy_control=967,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 9,SMOTE AD vs Healthy metrics,,,ad_vs_healthy/alzheimer=1876; ad_vs_healthy/healthy_control=1876,ad_vs_healthy/alzheimer=967; ad_vs_healthy/healthy_control=967,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 10,5-fold multiclass accuracy,,,,,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 11,5-fold AD vs Healthy accuracy,,,,,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 12,standard RBP multiclass metrics,multiclass=63.03%,multiclass=0.5621225194132873,multiclass/alzheimer=1876; multiclass/frontotemporal_dementia=1597; multiclass/healthy_control=1106,multiclass/alzheimer=967; multiclass/frontotemporal_dementia=551; multiclass/healthy_control=800,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 13,standard RBP AD vs Healthy metrics,ad_vs_healthy=76.36%,ad_vs_healthy=0.7176004527447651,ad_vs_healthy/alzheimer=1876; ad_vs_healthy/healthy_control=1597,ad_vs_healthy/alzheimer=967; ad_vs_healthy/healthy_control=800,See paper_vs_ours.csv for per-metric differences.
paper_literal_80_10_10,Table 14,literature comparison,,,,,Literature comparison table; no ours-side training output.
