scenario,status,paper_table,experiment_kind,task_id,class_name,metric,paper_value,paper_value_scale,ours_value,ours_value_scale,difference,ours_available,notes
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,alzheimer,precision,0.7,decimal,0.5398729710656316,decimal,-0.16012702893436837,true,
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,alzheimer,recall,0.9,decimal,0.7911065149948294,decimal,-0.1088934850051706,true,
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,alzheimer,f1,0.79,decimal,0.6417785234899329,decimal,-0.14822147651006712,true,
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,alzheimer,sensitivity,0.9,decimal,0.7911065149948294,decimal,-0.1088934850051706,true,
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,alzheimer,specificity,0.74,decimal,0.5173945225758697,decimal,-0.22260547742413028,true,
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,alzheimer,support,1876,decimal,967,decimal,-909.0,true,
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,frontotemporal_dementia,precision,1.0,decimal,0.66,decimal,-0.33999999999999997,true,Support is inconsistent with ds004504 FTD duration and matches healthy duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,frontotemporal_dementia,recall,1.0,decimal,0.17967332123411978,decimal,-0.8203266787658803,true,Support is inconsistent with ds004504 FTD duration and matches healthy duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,frontotemporal_dementia,f1,1.0,decimal,0.28245363766048504,decimal,-0.717546362339515,true,Support is inconsistent with ds004504 FTD duration and matches healthy duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,frontotemporal_dementia,sensitivity,1.0,decimal,0.17967332123411978,decimal,-0.8203266787658803,true,Support is inconsistent with ds004504 FTD duration and matches healthy duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,frontotemporal_dementia,specificity,1.0,decimal,0.9711375212224108,decimal,-0.028862478777589184,true,Support is inconsistent with ds004504 FTD duration and matches healthy duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,frontotemporal_dementia,support,1597,decimal,551,decimal,-1046.0,true,Support is inconsistent with ds004504 FTD duration and matches healthy duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,healthy_control,precision,0.68,decimal,0.6151797603195739,decimal,-0.06482023968042616,true,Support is inconsistent with ds004504 healthy duration and matches FTD duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,healthy_control,recall,0.35,decimal,0.5775,decimal,0.22750000000000004,true,Support is inconsistent with ds004504 healthy duration and matches FTD duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,healthy_control,f1,0.47,decimal,0.5957446808510637,decimal,0.12574468085106372,true,Support is inconsistent with ds004504 healthy duration and matches FTD duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,healthy_control,sensitivity,0.35,decimal,0.5775,decimal,0.22750000000000004,true,Support is inconsistent with ds004504 healthy duration and matches FTD duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,healthy_control,specificity,0.95,decimal,0.8096179183135704,decimal,-0.14038208168642952,true,Support is inconsistent with ds004504 healthy duration and matches FTD duration.
paper_literal_80_10_10,available,Table 3,modified_rbp,multiclass,healthy_control,support,1106,decimal,800,decimal,-306.0,true,Support is inconsistent with ds004504 healthy duration and matches FTD duration.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,alzheimer_or_frontotemporal_dementia,precision,0.9977,decimal,0.7895392278953923,decimal,-0.2081607721046077,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,alzheimer_or_frontotemporal_dementia,recall,0.9993,decimal,0.8358602504943968,decimal,-0.16343974950560314,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,alzheimer_or_frontotemporal_dementia,f1,0.9985,decimal,0.8120397054114634,decimal,-0.18646029458853663,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,alzheimer_or_frontotemporal_dementia,sensitivity,1.0,decimal,0.8358602504943968,decimal,-0.16413974950560317,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,alzheimer_or_frontotemporal_dementia,specificity,1.0,decimal,0.5775,decimal,-0.4225,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,alzheimer_or_frontotemporal_dementia,support,2983,decimal,1517,decimal,-1466.0,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,healthy_control,precision,0.9987,decimal,0.6497890295358649,decimal,-0.3489109704641351,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,healthy_control,recall,0.9956,decimal,0.5775,decimal,-0.4181,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,healthy_control,f1,0.9972,decimal,0.6115155526141628,decimal,-0.3856844473858372,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,healthy_control,sensitivity,1.0,decimal,0.5775,decimal,-0.4225,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,healthy_control,specificity,1.0,decimal,0.8358602504943968,decimal,-0.16413974950560317,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 4,modified_rbp,ad_ftd_vs_healthy,healthy_control,support,1596,decimal,800,decimal,-796.0,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,alzheimer,precision,0.9963,decimal,0.7446393762183235,decimal,-0.2516606237816764,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,alzheimer,recall,0.9989,decimal,0.7900723888314375,decimal,-0.20882761116856252,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,alzheimer,f1,0.9976,decimal,0.7666833918715504,decimal,-0.2309166081284496,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,alzheimer,sensitivity,1.0,decimal,0.7900723888314375,decimal,-0.2099276111685625,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,alzheimer,specificity,1.0,decimal,0.6725,decimal,-0.3275,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,alzheimer,support,1876,decimal,967,decimal,-909.0,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,healthy_control,precision,0.9987,decimal,0.7260458839406208,decimal,-0.2726541160593793,true,Paper table support is 1596; Figure 4c row sum is 1597.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,healthy_control,recall,0.9956,decimal,0.6725,decimal,-0.32310000000000005,true,Paper table support is 1596; Figure 4c row sum is 1597.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,healthy_control,f1,0.9972,decimal,0.6982478909798833,decimal,-0.2989521090201167,true,Paper table support is 1596; Figure 4c row sum is 1597.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,healthy_control,sensitivity,1.0,decimal,0.6725,decimal,-0.3275,true,Paper table support is 1596; Figure 4c row sum is 1597.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,healthy_control,specificity,1.0,decimal,0.7900723888314375,decimal,-0.2099276111685625,true,Paper table support is 1596; Figure 4c row sum is 1597.
paper_literal_80_10_10,available,Table 5,modified_rbp,ad_vs_healthy,healthy_control,support,1596,decimal,800,decimal,-796.0,true,Paper table support is 1596; Figure 4c row sum is 1597.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,frontotemporal_dementia,precision,0.9994,decimal,0.6994106090373281,decimal,-0.29998939096267185,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,frontotemporal_dementia,recall,0.9956,decimal,0.6460980036297641,decimal,-0.34950199637023593,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,frontotemporal_dementia,f1,0.9975,decimal,0.6716981132075471,decimal,-0.3258018867924529,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,frontotemporal_dementia,sensitivity,1.0,decimal,0.6460980036297641,decimal,-0.3539019963702359,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,frontotemporal_dementia,specificity,1.0,decimal,0.80875,decimal,-0.19125000000000003,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,frontotemporal_dementia,support,1597,decimal,551,decimal,-1046.0,true,Binary sensitivity/specificity are carried from the paper's single reported row.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,healthy_control,precision,0.9937,decimal,0.7684085510688836,decimal,-0.2252914489311164,true,Paper table support is 1596; Figure 4d row sum and text are 1106.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,healthy_control,recall,0.9991,decimal,0.80875,decimal,-0.19035000000000002,true,Paper table support is 1596; Figure 4d row sum and text are 1106.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,healthy_control,f1,0.9964,decimal,0.7880633373934226,decimal,-0.20833666260657735,true,Paper table support is 1596; Figure 4d row sum and text are 1106.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,healthy_control,sensitivity,1.0,decimal,0.80875,decimal,-0.19125000000000003,true,Paper table support is 1596; Figure 4d row sum and text are 1106.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,healthy_control,specificity,1.0,decimal,0.6460980036297641,decimal,-0.3539019963702359,true,Paper table support is 1596; Figure 4d row sum and text are 1106.
paper_literal_80_10_10,available,Table 6,modified_rbp,ftd_vs_healthy,healthy_control,support,1596,decimal,800,decimal,-796.0,true,Paper table support is 1596; Figure 4d row sum and text are 1106.
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,alzheimer,precision,0.63,decimal,0.5439560439560439,decimal,-0.0860439560439561,true,
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,alzheimer,recall,0.71,decimal,0.4095139607032058,decimal,-0.3004860392967942,true,
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,alzheimer,f1,0.67,decimal,0.4672566371681416,decimal,-0.20274336283185845,true,
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,alzheimer,sensitivity,0.71,decimal,0.4095139607032058,decimal,-0.3004860392967942,true,
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,alzheimer,specificity,0.79,decimal,0.828335056876939,decimal,0.038335056876938944,true,
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,alzheimer,support,1876,decimal,967,decimal,-909.0,true,
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,frontotemporal_dementia,precision,1.0,decimal,0.4912621359223301,decimal,-0.5087378640776699,true,Table 8 supports are balanced to 1876 for every class.
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,frontotemporal_dementia,recall,1.0,decimal,0.5232678386763185,decimal,-0.47673216132368146,true,Table 8 supports are balanced to 1876 for every class.
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,frontotemporal_dementia,f1,1.0,decimal,0.5067601402103155,decimal,-0.49323985978968454,true,Table 8 supports are balanced to 1876 for every class.
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,frontotemporal_dementia,sensitivity,1.0,decimal,0.5232678386763185,decimal,-0.47673216132368146,true,Table 8 supports are balanced to 1876 for every class.
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,frontotemporal_dementia,specificity,1.0,decimal,0.7290589451913133,decimal,-0.2709410548086867,true,Table 8 supports are balanced to 1876 for every class.
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,frontotemporal_dementia,support,1876,decimal,967,decimal,-909.0,true,Table 8 supports are balanced to 1876 for every class.
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,healthy_control,precision,0.67,decimal,0.5853018372703412,decimal,-0.0846981627296588,true,"The paper text reports 77.45% accuracy, but these equal supports and recalls imply 76.33%."
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,healthy_control,recall,0.58,decimal,0.6918304033092038,decimal,0.1118304033092038,true,"The paper text reports 77.45% accuracy, but these equal supports and recalls imply 76.33%."
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,healthy_control,f1,0.62,decimal,0.6341232227488152,decimal,0.014123222748815167,true,"The paper text reports 77.45% accuracy, but these equal supports and recalls imply 76.33%."
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,healthy_control,sensitivity,0.58,decimal,0.6918304033092038,decimal,0.1118304033092038,true,"The paper text reports 77.45% accuracy, but these equal supports and recalls imply 76.33%."
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,healthy_control,specificity,0.86,decimal,0.7549120992761117,decimal,-0.1050879007238883,true,"The paper text reports 77.45% accuracy, but these equal supports and recalls imply 76.33%."
paper_literal_80_10_10,available,Table 8,smote_modified_rbp,multiclass,healthy_control,support,1876,decimal,967,decimal,-909.0,true,"The paper text reports 77.45% accuracy, but these equal supports and recalls imply 76.33%."
paper_literal_80_10_10,available,Table 9,smote_modified_rbp,ad_vs_healthy,alzheimer,precision,99.73,percent,0.6986027944111777,decimal,-29.869720558882236,true,"Paper table reports precision/recall/F1 as percentages, unlike Tables 3-8."
