index,true_label,predicted_label,correct
0,7,6,0
1,2,1,0
2,1,6,0
3,0,0,1
4,4,2,0
5,1,6,0
6,4,4,1
7,9,8,0
8,5,8,0
9,9,9,1
10,0,1,0
11,6,2,0
12,9,9,1
13,0,0,1
14,1,6,0
15,5,3,0
16,9,2,0
17,7,0,0
18,3,6,0
19,4,9,0
20,9,6,0
21,6,6,1
22,6,4,0
23,5,3,0
24,4,3,0
25,0,0,1
26,7,7,1
27,4,3,0
28,0,3,0
29,1,2,0
30,3,6,0
31,1,7,0
32,3,6,0
33,4,4,1
34,7,1,0
35,2,1,0
36,7,9,0
37,1,1,1
38,2,9,0
39,1,6,0
40,1,7,0
41,7,7,1
42,4,1,0
43,2,0,0
44,3,2,0
45,5,3,0
46,1,7,0
47,2,9,0
48,4,2,0
49,4,2,0
50,6,6,1
51,3,4,0
52,5,9,0
53,5,0,0
54,6,1,0
55,0,3,0
56,4,3,0
57,1,6,0
58,9,2,0
59,5,6,0
60,7,6,0
61,8,2,0
62,9,4,0
63,3,7,0
64,7,1,0
65,4,9,0
66,6,0,0
67,4,2,0
68,3,1,0
69,0,0,1
70,7,6,0
71,0,0,1
72,2,2,1
73,9,7,0
74,1,6,0
75,7,8,0
76,3,5,0
77,2,7,0
78,9,6,0
79,7,7,1
80,7,9,0
81,6,6,1
82,2,2,1
83,7,5,0
84,8,4,0
85,4,1,0
86,7,7,1
87,3,6,0
88,6,4,0
89,1,6,0
90,3,3,1
91,6,6,1
92,9,1,0
93,3,6,0
94,1,8,0
95,4,4,1
96,1,7,0
97,7,4,0
98,6,6,1
99,9,2,0
100,6,7,0
101,0,1,0
102,5,9,0
103,4,2,0
104,9,8,0
105,9,2,0
106,2,2,1
107,1,2,0
108,9,4,0
109,4,9,0
110,8,8,1
111,7,7,1
112,3,1,0
113,9,6,0
114,7,6,0
115,4,8,0
116,4,9,0
117,4,6,0
118,9,9,1
119,2,7,0
120,5,3,0
121,4,6,0
122,7,1,0
123,6,7,0
124,7,4,0
125,9,6,0
126,0,2,0
127,5,1,0
128,8,8,1
129,5,3,0
130,6,6,1
131,6,4,0
132,5,6,0
133,7,0,0
134,8,3,0
135,1,9,0
136,0,3,0
137,1,7,0
138,6,4,0
139,4,4,1
140,6,6,1
141,7,9,0
142,3,1,0
143,1,6,0
144,7,7,1
145,1,7,0
146,8,5,0
147,2,2,1
148,0,3,0
149,2,8,0
150,9,8,0
151,9,6,0
152,5,1,0
153,5,8,0
154,1,9,0
155,5,4,0
156,6,4,0
157,0,3,0
158,3,3,1
159,4,6,0
160,4,9,0
161,6,2,0
162,5,1,0
163,4,2,0
164,6,7,0
165,5,3,0
166,4,9,0
167,5,2,0
168,1,2,0
169,4,4,1
170,4,9,0
171,7,4,0
172,2,0,0
173,3,0,0
174,2,7,0
175,7,8,0
176,1,6,0
177,8,6,0
178,1,6,0
179,8,1,0
180,1,9,0
181,8,6,0
182,5,8,0
183,0,0,1
184,8,5,0
185,9,6,0
186,2,0,0
187,5,3,0
188,0,0,1
189,1,2,0
190,1,7,0
191,1,7,0
192,0,0,1
193,9,4,0
194,0,0,1
195,3,6,0
196,1,6,0
197,6,6,1
198,4,9,0
199,2,7,0
200,3,2,0
201,6,7,0
202,1,2,0
203,1,9,0
204,1,6,0
205,3,6,0
206,9,9,1
207,5,3,0
208,2,2,1
209,9,6,0
210,4,2,0
211,5,8,0
212,9,6,0
213,3,1,0
214,9,3,0
215,0,8,0
216,3,3,1
217,6,4,0
218,5,6,0
219,5,0,0
220,7,5,0
221,2,0,0
222,2,0,0
223,7,7,1
224,1,2,0
225,2,1,0
226,8,1,0
227,4,9,0
228,1,2,0
229,7,8,0
230,3,3,1
231,3,8,0
232,8,1,0
233,8,9,0
234,7,8,0
235,9,2,0
236,2,5,0
237,2,2,1
238,4,8,0
239,1,9,0
240,5,6,0
241,9,1,0
242,8,4,0
243,7,1,0
244,2,7,0
245,3,4,0
246,0,0,1
247,4,2,0
248,4,9,0
249,2,2,1
250,4,8,0
251,1,6,0
252,9,6,0
253,5,8,0
254,7,8,0
255,7,8,0
256,2,2,1
257,8,9,0
258,2,2,1
259,6,0,0
260,8,6,0
261,5,7,0
262,7,9,0
263,7,8,0
264,9,6,0
265,1,1,1
266,8,8,1
267,1,9,0
268,8,2,0
269,0,2,0
270,3,8,0
271,0,0,1
272,1,8,0
273,9,8,0
274,9,2,0
275,4,2,0
276,1,6,0
277,8,7,0
278,2,0,0
279,1,6,0
280,2,2,1
281,9,9,1
282,7,8,0
283,5,8,0
284,9,2,0
285,2,2,1
286,6,2,0
287,4,2,0
288,1,6,0
289,5,6,0
290,8,0,0
291,2,1,0
292,9,6,0
293,2,5,0
294,0,0,1
295,4,9,0
296,0,2,0
297,0,0,1
298,2,1,0
299,8,8,1
300,4,6,0
301,7,6,0
302,1,8,0
303,2,0,0
304,4,6,0
305,0,1,0
306,2,0,0
307,7,8,0
308,4,1,0
309,3,3,1
310,3,0,0
311,0,0,1
312,0,3,0
313,3,3,1
314,1,1,1
315,9,8,0
316,6,8,0
317,5,4,0
318,2,2,1
319,5,3,0
320,9,7,0
321,2,1,0
322,9,6,0
323,3,0,0
324,0,7,0
325,4,6,0
326,2,2,1
327,0,1,0
328,7,8,0
329,1,6,0
330,1,9,0
331,2,2,1
332,1,9,0
333,5,1,0
334,3,0,0
335,3,1,0
336,9,8,0
337,7,3,0
338,8,1,0
339,6,3,0
340,5,1,0
341,6,8,0
342,1,6,0
343,3,0,0
344,8,2,0
345,1,9,0
346,0,3,0
347,5,1,0
348,1,2,0
349,3,8,0
350,1,7,0
351,5,1,0
352,5,0,0
353,6,2,0
354,1,4,0
355,8,7,0
356,5,3,0
357,1,9,0
358,7,8,0
359,9,8,0
360,4,9,0
361,6,7,0
362,2,0,0
363,2,2,1
364,5,3,0
365,0,3,0
366,6,7,0
367,5,1,0
368,6,6,1
369,3,1,0
370,7,9,0
371,2,2,1
372,0,0,1
373,8,1,0
374,8,7,0
375,5,9,0
376,4,9,0
377,1,6,0
378,1,6,0
379,4,9,0
380,0,0,1
381,3,9,0
382,3,6,0
383,7,4,0
384,6,2,0
385,1,6,0
386,6,3,0
387,2,5,0
388,1,0,0
389,9,9,1
390,2,0,0
391,8,3,0
392,6,6,1
393,1,6,0
394,9,9,1
395,5,6,0
396,2,2,1
397,5,2,0
398,4,3,0
399,4,0,0
400,2,2,1
401,8,8,1
402,3,8,0
403,8,1,0
404,2,1,0
405,4,2,0
406,5,1,0
407,0,0,1
408,3,3,1
409,1,8,0
410,7,9,0
411,7,6,0
412,5,3,0
413,7,8,0
414,9,8,0
415,7,8,0
416,1,6,0
417,9,7,0
418,2,2,1
419,1,9,0
420,4,6,0
421,2,1,0
422,9,9,1
423,2,5,0
424,0,0,1
425,4,0,0
426,9,4,0
427,1,8,0
428,4,9,0
429,8,1,0
430,1,6,0
431,8,1,0
432,4,1,0
433,5,3,0
434,9,8,0
435,8,3,0
436,8,1,0
437,3,1,0
438,7,8,0
439,6,6,1
440,0,0,1
441,0,3,0
442,3,6,0
443,0,3,0
444,2,1,0
445,6,0,0
446,6,6,1
447,4,4,1
448,9,8,0
449,3,0,0
450,3,6,0
451,3,1,0
452,2,2,1
453,3,0,0
454,9,0,0
455,1,6,0
456,2,1,0
457,6,6,1
458,8,6,0
459,0,0,1
460,5,1,0
461,6,4,0
462,6,2,0
463,6,2,0
464,3,1,0
465,8,8,1
466,8,1,0
467,2,9,0
468,7,1,0
469,5,8,0
470,8,8,1
471,9,9,1
472,6,7,0
473,1,6,0
474,8,6,0
475,4,4,1
476,1,6,0
477,2,2,1
478,5,8,0
479,9,8,0
480,1,6,0
481,9,4,0
482,7,2,0
483,5,6,0
484,4,4,1
485,0,3,0
486,8,4,0
487,9,7,0
488,9,4,0
489,1,6,0
490,0,6,0
491,5,3,0
492,2,7,0
493,3,3,1
494,7,7,1
495,8,8,1
496,9,2,0
497,4,4,1
498,0,3,0
499,6,1,0
500,3,3,1
501,9,0,0
502,5,2,0
503,2,2,1
504,1,9,0
505,3,1,0
506,1,6,0
507,3,6,0
508,6,3,0
509,5,8,0
510,7,1,0
511,4,6,0
512,2,5,0
513,2,4,0
514,6,0,0
515,3,3,1
516,2,4,0
517,6,7,0
518,5,1,0
519,4,4,1
520,8,1,0
521,9,9,1
522,7,7,1
523,1,8,0
524,3,3,1
525,0,1,0
526,3,3,1
527,8,1,0
528,3,9,0
529,1,6,0
530,9,8,0
531,3,2,0
532,4,9,0
533,4,0,0
534,6,6,1
535,4,3,0
536,2,1,0
537,1,6,0
538,8,1,0
539,2,2,1
540,5,1,0
541,4,9,0
542,8,1,0
543,8,4,0
544,4,2,0
545,0,1,0
546,0,1,0
547,2,1,0
548,3,4,0
