epoch,train_acc,test_acc
1,84.0248,88.9700
2,90.4332,90.8800
3,92.0724,91.6600
4,93.0330,92.5700
5,93.7517,93.0500
6,94.3203,93.3900
7,94.7005,93.5600
8,95.0924,93.9000
9,95.3825,94.1100
10,95.6493,94.2900
11,95.8978,94.4700
12,96.0912,94.5500
13,96.3030,94.6400
14,96.4348,94.7300
15,96.6132,94.8300
16,96.7749,94.8700
17,96.9284,94.9500
18,97.0718,95.0300
19,97.1668,95.0600
20,97.2719,95.1400
21,97.3953,95.1900
22,97.5253,95.2300
23,97.6204,95.2300
24,97.7104,95.3100
25,97.7988,95.3200
26,97.9156,95.3500
27,97.9839,95.3900
28,98.0406,95.4500
29,98.1190,95.4700
30,98.1940,95.5600
31,98.2641,95.5600
32,98.3508,95.6000
33,98.3975,95.6100
34,98.4525,95.6500
35,98.4992,95.7900
36,98.5492,95.8000
37,98.6226,95.8300
38,98.6693,95.8300
39,98.7110,95.8500
40,98.7660,95.8400
41,98.8294,95.8200
42,98.8727,95.8100
43,98.9211,95.8700
44,98.9678,95.8800
45,99.0028,95.9400
46,99.0362,95.9000
47,99.0845,95.9100
48,99.1129,95.9100
49,99.1596,95.9100
50,99.1946,95.9000
