epoch,train_acc,test_acc
1,13.4000,11.9200
2,15.3000,12.7100
3,21.0000,19.5900
4,17.6000,16.7800
5,21.2000,21.8700
6,22.6000,18.5200
7,28.1000,23.7000
8,28.1000,23.7000
9,28.1000,23.7000
10,28.1000,23.7000
11,28.1000,23.7000
12,28.1000,23.7000
13,28.1000,23.7000
14,28.1000,23.7000
15,28.1000,23.7000
16,29.1000,24.9800
17,29.1000,24.9800
18,29.1000,24.9800
19,29.1000,24.9800
20,29.1000,24.9800
21,29.1000,24.9800
22,29.1000,24.9800
23,29.1000,24.9800
24,29.1000,24.9800
25,29.1000,24.9800
26,29.1000,24.9800
27,29.1000,24.9800
28,29.1000,24.9800
29,29.1000,24.9800
30,29.1000,24.9800
31,29.1000,24.9800
32,29.1000,24.9800
33,29.1000,24.9800
34,29.1000,24.9800
35,29.1000,24.9800
36,29.1000,24.9800
37,29.1000,24.9800
38,29.1000,24.9800
39,29.1000,24.9800
40,29.1000,24.9800
41,29.1000,24.9800
42,29.7000,24.2000
43,29.7000,24.2000
44,29.7000,24.2000
45,29.7000,24.2000
46,29.7000,24.2000
47,29.7000,24.2000
48,29.7000,24.2000
49,29.7000,24.2000
50,29.7000,24.2000
51,29.7000,24.2000
